Фаза,TASK ID,Название,Описание,Часов,Статус,Ключевые коммиты,Ссылки на артефакты
Завершено: Фундамент & Ядро,TASK-11,Тестирование и документация (Фаза 1),Написание unit тестов; integration smoke тесты; подготовка API документации; настройка логирования,~180,✅ Завершено,cde3456; fgh7890,https://github.com/videlboga/cyberkitty119/tree/main/tests; https://github.com/videlboga/cyberkitty119/tree/main/docs; https://github.com/videlboga/cyberkitty119/blob/main/README.md
В работе: Миграция очереди,TASK-12,Архитектура БД и ADR,Определение архитектуры очереди; разработка ADR; проектирование схемы jobs; определение контрактов и плана миграции,16,🔄 В работе,e2c9d62,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docs/adr/ADR-2026-001-queue-workers.md; https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/alembic/versions
В работе: Миграция очереди,TASK-13,Сервис очереди задач,Реализация DAO и service layer с retry/backoff логикой; comprehensive unit и integration тестирование,80,🔄 В работе,e2c9d62,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/jobs/queue.py; https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests/test_job_queue.py
В работе: Миграция очереди,TASK-14,Сервис Worker и долгоживущий Whisper,Построение FastAPI Whisper сервиса; контейнеризация worker; интеграция с очередью; настройка WireGuard; бенчмаркинг,110,🔄 В работе,763df02; 411f66c; b4a3591a,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tools/whisper_service.py; https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/tools/di_worker
В работе: Миграция очереди,TASK-15,Пайплайн Transcriber v4 и LLM форматирование,Интеграция Whisper с LLM форматированием; улучшение chunking для длинных транскриптов; error handling и fallback механизмы,60,🔄 В работе,b4a3591a,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/transcribe/transcriber_v4.py; https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/tests/test_transcriber_v4.py
В работе: Миграция очереди,TASK-16,Рефактор обработчиков бота и дедупликация,Рефактор bot handlers; реализация processing_guard и update_dedupe; event logging; обработка больших файлов,140,🔄 В работе,14c3fd2; b4a3591a,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/handlers.py; https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/processing_guard.py
В работе: Миграция очереди,TASK-17,Поток платежей и мониторинг,Интеграция Yukassa webhook; sandbox тестирование; мониторинг платёжных событий; runbook для ops,40,🔄 В работе,b4a3591a,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/payments/yukassa.py; https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/transkribator_modules/bot/yukassa_webhook.py
В работе: Миграция очереди,TASK-18,Docker и конфигурация развёртывания,Оптимизация Dockerfile и docker-compose; удаление секретов из образов; build strategy для CI; документация,40,🔄 В работе,b4a3591a; f9323456,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/Dockerfile; https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/docker-compose.yml
В работе: Миграция очереди,TASK-19,Инструменты, скрипты и документация,Стабилизация minimal_app и di_worker утилит; подготовка dev скриптов (setup; run; test; clean); обновление примеров,32,🔄 В работе,6af943b; c750d7e; 763df02,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/minimal_app; https://github.com/videlboga/cyberkitty119/tree/feature/queue-adr-migration/tools
В работе: Миграция очереди,TASK-20,Тестирование и CI пайплайн,Comprehensive unit и integration тестирование; фиксирование flaky тестов; setup CI в GitHub Actions (pytest + lint + black),40,🔄 В работе,c750d7e,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/tests; https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/.github/workflows
В работе: Миграция очереди,TASK-21,Очистка репозитория и документация,Удаление больших файлов; обновление .gitignore; подготовка плана git-filter-repo; финализация ARCHITECTURE.md и DEPLOYMENT.md,24,🔄 В работе,b4a3591a,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/.gitignore; https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/LARGE_FILES_FIX.md
В работе: Миграция очереди,TASK-22,Финальное тестирование баги и release checklist,End-to-end workflow тестирование; исправление критических багов; release checklist и ops runbook; документирование handoff,18,🔄 В работе,various,https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/RELEASE_CHECKLIST.md; https://github.com/videlboga/cyberkitty119/blob/feature/queue-adr-migration/RUNBOOK.md
